# Time ['Lemming']
2.492055547208173394e+01 8.000000000000000000e+00
2.500951341362706515e+01 7.000000000000000000e+00
2.605143089431556191e+01 8.000000000000000000e+00
2.630891927023090915e+01 7.000000000000000000e+00
2.686252831006078878e+01 8.000000000000000000e+00
2.727700419994208048e+01 7.000000000000000000e+00
2.750485820725229402e+01 6.000000000000000000e+00
2.752334434313620903e+01 7.000000000000000000e+00
2.789201724289467421e+01 6.000000000000000000e+00
2.892778040329764622e+01 5.000000000000000000e+00
2.901554767186681261e+01 6.000000000000000000e+00
3.042979315045506894e+01 7.000000000000000000e+00
3.074829896454155787e+01 6.000000000000000000e+00
3.255526479061223455e+01 5.000000000000000000e+00
3.333777728326398204e+01 6.000000000000000000e+00
3.415305943069368766e+01 5.000000000000000000e+00
3.417541417909744439e+01 6.000000000000000000e+00
3.599610885689587292e+01 7.000000000000000000e+00
3.599708118274337920e+01 6.000000000000000000e+00
3.669401197842442741e+01 7.000000000000000000e+00
3.731825283748352007e+01 6.000000000000000000e+00
3.757754637584354640e+01 7.000000000000000000e+00
3.779408969985497890e+01 8.000000000000000000e+00
3.814382624126543675e+01 9.000000000000000000e+00
3.909313717098618923e+01 8.000000000000000000e+00
3.914678072612460369e+01 7.000000000000000000e+00
3.915019714241341831e+01 8.000000000000000000e+00
3.930799795774143490e+01 9.000000000000000000e+00
3.957598920408022281e+01 1.000000000000000000e+01
3.984947157436572240e+01 1.100000000000000000e+01
4.003372173540571310e+01 1.000000000000000000e+01
4.088911048269758908e+01 9.000000000000000000e+00
4.090696408422687114e+01 8.000000000000000000e+00
4.126439395468708682e+01 9.000000000000000000e+00
4.129398752993798638e+01 8.000000000000000000e+00
4.205113545855161306e+01 7.000000000000000000e+00
4.227772032480781661e+01 6.000000000000000000e+00
4.400606919262298078e+01 7.000000000000000000e+00
4.476838454268854406e+01 8.000000000000000000e+00
4.537347644355458698e+01 7.000000000000000000e+00
4.571661560222678133e+01 6.000000000000000000e+00
4.591719147423905412e+01 7.000000000000000000e+00
4.603297896989840154e+01 8.000000000000000000e+00
4.731915313116125787e+01 9.000000000000000000e+00
4.883476717731107897e+01 8.000000000000000000e+00
4.902800085188871293e+01 9.000000000000000000e+00
4.911880486538726132e+01 8.000000000000000000e+00
4.912458922427008901e+01 9.000000000000000000e+00
5.002084863459149489e+01 8.000000000000000000e+00
5.082923119055469385e+01 9.000000000000000000e+00
5.119999090585061907e+01 1.000000000000000000e+01
5.121831107248589632e+01 1.100000000000000000e+01
5.123060322096391417e+01 1.000000000000000000e+01
5.134254003331987803e+01 9.000000000000000000e+00
5.179543257648145982e+01 8.000000000000000000e+00
5.187775973757246817e+01 9.000000000000000000e+00
5.273013404144579397e+01 8.000000000000000000e+00
5.311764492491522560e+01 9.000000000000000000e+00
5.378389623926149454e+01 8.000000000000000000e+00
5.443147970938828450e+01 7.000000000000000000e+00
5.466788861990491455e+01 6.000000000000000000e+00
5.473483272425274748e+01 7.000000000000000000e+00
5.563818035812159479e+01 6.000000000000000000e+00
5.772829605496640681e+01 7.000000000000000000e+00
5.842232662151361922e+01 8.000000000000000000e+00
5.842708202773740567e+01 9.000000000000000000e+00
5.845997188109237186e+01 1.000000000000000000e+01
5.901794558210463038e+01 9.000000000000000000e+00
5.996755770645101791e+01 8.000000000000000000e+00
6.038821138561254998e+01 9.000000000000000000e+00
6.045714121324376578e+01 1.000000000000000000e+01
6.062491146959837351e+01 9.000000000000000000e+00
6.341218824823019418e+01 1.000000000000000000e+01
6.395574685128248404e+01 1.100000000000000000e+01
6.396625376430602472e+01 1.000000000000000000e+01
6.399627829897802656e+01 1.100000000000000000e+01
6.592320769264317448e+01 1.000000000000000000e+01
6.616369945311627987e+01 1.100000000000000000e+01
6.747907341764786793e+01 1.200000000000000000e+01
6.820335068528848410e+01 1.100000000000000000e+01
6.878445464607779058e+01 1.000000000000000000e+01
6.997285500007544101e+01 9.000000000000000000e+00
7.045027046409865079e+01 1.000000000000000000e+01
7.048828412097751084e+01 1.100000000000000000e+01
7.063792723796890982e+01 1.000000000000000000e+01
7.079467778280429968e+01 1.100000000000000000e+01
7.134491768727835392e+01 1.200000000000000000e+01
7.170873095493845994e+01 1.100000000000000000e+01
7.180085720512153102e+01 1.200000000000000000e+01
7.191116433882224612e+01 1.100000000000000000e+01
7.236909731808380286e+01 1.200000000000000000e+01
7.325856739024192166e+01 1.100000000000000000e+01
7.342542139939787660e+01 1.200000000000000000e+01
7.443556769318253430e+01 1.300000000000000000e+01
7.453110368642330741e+01 1.400000000000000000e+01
7.480274833544177682e+01 1.300000000000000000e+01
7.520073492533973081e+01 1.200000000000000000e+01
7.544778230624524440e+01 1.100000000000000000e+01
7.549805009994690863e+01 1.000000000000000000e+01
7.559992394333332300e+01 9.000000000000000000e+00
7.562392954724658978e+01 8.000000000000000000e+00
7.565297819073997232e+01 9.000000000000000000e+00
7.600621990675529105e+01 8.000000000000000000e+00
7.682199882778574818e+01 9.000000000000000000e+00
7.725145809721244916e+01 8.000000000000000000e+00
7.801086063095026191e+01 7.000000000000000000e+00
7.809552068685964343e+01 8.000000000000000000e+00
7.832483425547468414e+01 9.000000000000000000e+00
7.870727731521121484e+01 1.000000000000000000e+01
8.079136296389275174e+01 9.000000000000000000e+00
8.209533173220044944e+01 1.000000000000000000e+01
8.248135790486442431e+01 9.000000000000000000e+00
8.282115045186496616e+01 8.000000000000000000e+00
8.326768160511394967e+01 9.000000000000000000e+00
8.436293945133539296e+01 8.000000000000000000e+00
8.486416951748203985e+01 7.000000000000000000e+00
8.697858674969279491e+01 8.000000000000000000e+00
8.801669640022798546e+01 7.000000000000000000e+00
8.957962594293840652e+01 8.000000000000000000e+00
9.036380650541019577e+01 9.000000000000000000e+00
9.061440189609115237e+01 1.000000000000000000e+01
9.063720552970590916e+01 9.000000000000000000e+00
9.170577417941176179e+01 8.000000000000000000e+00
9.336231541663664757e+01 7.000000000000000000e+00
9.338435214098139170e+01 8.000000000000000000e+00
9.364204761603139104e+01 7.000000000000000000e+00
9.464226426830589389e+01 6.000000000000000000e+00
9.512881758215178252e+01 7.000000000000000000e+00
9.550441733313499526e+01 8.000000000000000000e+00
9.597967732835239474e+01 9.000000000000000000e+00
9.617968953210348104e+01 8.000000000000000000e+00
9.630143612454389768e+01 9.000000000000000000e+00
9.677358829158413300e+01 1.000000000000000000e+01
9.873942468868202127e+01 1.100000000000000000e+01
9.904963858580336478e+01 1.000000000000000000e+01
9.920023651775566975e+01 9.000000000000000000e+00
9.944924231583243568e+01 8.000000000000000000e+00
9.946065950805015632e+01 7.000000000000000000e+00
1.002016468770190158e+02 8.000000000000000000e+00
1.008709238342341195e+02 7.000000000000000000e+00
1.013252230728235475e+02 8.000000000000000000e+00
1.023610088668361584e+02 9.000000000000000000e+00
1.036912813054163678e+02 1.000000000000000000e+01
1.045045547997585373e+02 1.100000000000000000e+01
1.053702985621288519e+02 1.200000000000000000e+01
1.066376000739769410e+02 1.100000000000000000e+01
1.066843888854986915e+02 1.000000000000000000e+01
1.080790054147569776e+02 1.100000000000000000e+01
1.082147674001195128e+02 1.200000000000000000e+01
1.083230709031162888e+02 1.100000000000000000e+01
1.083827356981576884e+02 1.200000000000000000e+01
1.099109104910965726e+02 1.100000000000000000e+01
1.100259464351070164e+02 1.000000000000000000e+01
1.106354821775533850e+02 9.000000000000000000e+00
1.111987326176448363e+02 1.000000000000000000e+01
1.123920843666379596e+02 1.100000000000000000e+01
1.130267332933242557e+02 1.200000000000000000e+01
1.130661216328799554e+02 1.100000000000000000e+01
1.137945759047314311e+02 1.200000000000000000e+01
1.154133475079556490e+02 1.100000000000000000e+01
1.160079746991376197e+02 1.200000000000000000e+01
1.164156739709662105e+02 1.300000000000000000e+01
1.166688830213015109e+02 1.400000000000000000e+01
1.168179445419277016e+02 1.300000000000000000e+01
1.170521413207411996e+02 1.200000000000000000e+01
1.187966874610676342e+02 1.300000000000000000e+01
1.188948215566235973e+02 1.400000000000000000e+01
1.189667902692159771e+02 1.300000000000000000e+01
1.196414728477145246e+02 1.400000000000000000e+01
1.200447010712851466e+02 1.300000000000000000e+01
1.202173806305519292e+02 1.400000000000000000e+01
1.206550939556390176e+02 1.500000000000000000e+01
1.206584218812224520e+02 1.600000000000000000e+01
1.208114482015994895e+02 1.700000000000000000e+01
1.211419992699012482e+02 1.800000000000000000e+01
1.213739799169742923e+02 1.700000000000000000e+01
1.218294678377255877e+02 1.800000000000000000e+01
1.219002531272288934e+02 1.700000000000000000e+01
1.224243172860315809e+02 1.600000000000000000e+01
1.227635275635494310e+02 1.500000000000000000e+01
1.233104354463481371e+02 1.400000000000000000e+01
1.238676480473522332e+02 1.300000000000000000e+01
1.238889984813759497e+02 1.200000000000000000e+01
1.240084890124913812e+02 1.300000000000000000e+01
1.248687194327471985e+02 1.200000000000000000e+01
1.252457500205815109e+02 1.300000000000000000e+01
1.253381298238549562e+02 1.200000000000000000e+01
1.258436338641489556e+02 1.300000000000000000e+01
1.258508737314297008e+02 1.200000000000000000e+01
1.262862019337292594e+02 1.100000000000000000e+01
1.279909392401961270e+02 1.000000000000000000e+01
1.280053561222850078e+02 9.000000000000000000e+00
1.282320297940171088e+02 1.000000000000000000e+01
1.283240926206158861e+02 9.000000000000000000e+00
1.287553613890349880e+02 8.000000000000000000e+00
1.290463525906257019e+02 7.000000000000000000e+00
1.295910877360647930e+02 6.000000000000000000e+00
1.299321649167695227e+02 5.000000000000000000e+00
1.303496340670898235e+02 4.000000000000000000e+00
1.314311610782312698e+02 5.000000000000000000e+00
1.353634369573067602e+02 4.000000000000000000e+00
1.382271763469482551e+02 3.000000000000000000e+00
1.384523880347491911e+02 4.000000000000000000e+00
1.385583533296822054e+02 5.000000000000000000e+00
1.389277469406203807e+02 4.000000000000000000e+00
1.395526805082228918e+02 5.000000000000000000e+00
1.398886586415054012e+02 6.000000000000000000e+00
1.403434545348211770e+02 5.000000000000000000e+00
1.405898936640258796e+02 6.000000000000000000e+00
1.414096972737093552e+02 7.000000000000000000e+00
1.416152133191558846e+02 8.000000000000000000e+00
1.423622243731830110e+02 9.000000000000000000e+00
1.427817288119175885e+02 1.000000000000000000e+01
1.435845496103418952e+02 1.100000000000000000e+01
1.439598401786968225e+02 1.000000000000000000e+01
1.444424623702770418e+02 9.000000000000000000e+00
1.453398511317414545e+02 1.000000000000000000e+01
1.454935389239631149e+02 1.100000000000000000e+01
1.455353999365280515e+02 1.000000000000000000e+01
1.459392912895313827e+02 1.100000000000000000e+01
1.467685707198924376e+02 1.200000000000000000e+01
1.469032964854878287e+02 1.300000000000000000e+01
1.476452740768441174e+02 1.400000000000000000e+01
1.478395071840445780e+02 1.500000000000000000e+01
1.481447850686732295e+02 1.400000000000000000e+01
1.482626738448770993e+02 1.300000000000000000e+01
1.484072445406570466e+02 1.200000000000000000e+01
1.484882072706615759e+02 1.100000000000000000e+01
1.489044786193084065e+02 1.000000000000000000e+01
1.493036741953680178e+02 9.000000000000000000e+00
1.495761872284097365e+02 1.000000000000000000e+01
1.496355514144976269e+02 1.100000000000000000e+01
1.497962616720779465e+02 1.000000000000000000e+01
1.506624123000895850e+02 9.000000000000000000e+00
1.510413479902233576e+02 8.000000000000000000e+00
1.513578982918828615e+02 9.000000000000000000e+00
1.519033088640248650e+02 8.000000000000000000e+00
1.519165306707938328e+02 9.000000000000000000e+00
1.531893476181285791e+02 8.000000000000000000e+00
1.543674527618331922e+02 9.000000000000000000e+00
1.546469304138260270e+02 1.000000000000000000e+01
1.551462800369452566e+02 1.100000000000000000e+01
1.553809139424320449e+02 1.000000000000000000e+01
1.554569964878853909e+02 1.100000000000000000e+01
1.560935613147650542e+02 1.000000000000000000e+01
1.563848586858855185e+02 1.100000000000000000e+01
1.569833812812146050e+02 1.000000000000000000e+01
1.573091431945185548e+02 9.000000000000000000e+00
1.573785100240212671e+02 1.000000000000000000e+01
1.588206284030410984e+02 1.100000000000000000e+01
1.599277385112413015e+02 1.000000000000000000e+01
1.610175311674535124e+02 1.100000000000000000e+01
1.620946818042456528e+02 1.000000000000000000e+01
1.628275695189628323e+02 1.100000000000000000e+01
1.628443800580912750e+02 1.000000000000000000e+01
1.633604469576916074e+02 9.000000000000000000e+00
1.639025540627558257e+02 8.000000000000000000e+00
1.650597314655050241e+02 7.000000000000000000e+00
1.658682859247394106e+02 8.000000000000000000e+00
1.663012988179719969e+02 7.000000000000000000e+00
1.671326873359871286e+02 6.000000000000000000e+00
1.685572170460744701e+02 7.000000000000000000e+00
1.690662078540046593e+02 6.000000000000000000e+00
1.704927681177581178e+02 7.000000000000000000e+00
1.706077335206333885e+02 6.000000000000000000e+00
1.725648757926284702e+02 7.000000000000000000e+00
1.730139528983374078e+02 8.000000000000000000e+00
1.731897277584170922e+02 9.000000000000000000e+00
1.735468674240353266e+02 1.000000000000000000e+01
1.736690751027578585e+02 9.000000000000000000e+00
1.740082615784024540e+02 1.000000000000000000e+01
1.741739589195586575e+02 1.100000000000000000e+01
1.745123820896506572e+02 1.200000000000000000e+01
1.751840585930836767e+02 1.100000000000000000e+01
1.754562682269140907e+02 1.200000000000000000e+01
1.758169144691883048e+02 1.300000000000000000e+01
1.758591279420701596e+02 1.400000000000000000e+01
1.761822619405379555e+02 1.500000000000000000e+01
1.764510609575315812e+02 1.600000000000000000e+01
1.765886271924516677e+02 1.500000000000000000e+01
1.766207584440013534e+02 1.400000000000000000e+01
1.766235450936025018e+02 1.300000000000000000e+01
1.768104625078312040e+02 1.400000000000000000e+01
1.769637596157867563e+02 1.500000000000000000e+01
1.769739962822604298e+02 1.600000000000000000e+01
1.772566971089115100e+02 1.500000000000000000e+01
1.774269478223870635e+02 1.600000000000000000e+01
1.774274014635353467e+02 1.700000000000000000e+01
1.774637131526133089e+02 1.600000000000000000e+01
1.786544462494284460e+02 1.500000000000000000e+01
1.786876694395946288e+02 1.600000000000000000e+01
1.787583759842017344e+02 1.500000000000000000e+01
1.803957333358663391e+02 1.400000000000000000e+01
1.805037222934685701e+02 1.300000000000000000e+01
1.805608705707852266e+02 1.400000000000000000e+01
1.808059276979210210e+02 1.300000000000000000e+01
1.820100045573908005e+02 1.200000000000000000e+01
1.823107930237215726e+02 1.100000000000000000e+01
1.826239161215573290e+02 1.200000000000000000e+01
1.828864056294108593e+02 1.300000000000000000e+01
1.832979072750310365e+02 1.200000000000000000e+01
1.835514531121879997e+02 1.100000000000000000e+01
1.837219766224654052e+02 1.200000000000000000e+01
1.842381365945472567e+02 1.100000000000000000e+01
1.849463092638510204e+02 1.000000000000000000e+01
1.859711957364137049e+02 1.100000000000000000e+01
1.860568965286943524e+02 1.200000000000000000e+01
1.864054697311687221e+02 1.100000000000000000e+01
1.873039034670654814e+02 1.200000000000000000e+01
1.878331326741503915e+02 1.100000000000000000e+01
1.878349802095549990e+02 1.000000000000000000e+01
1.886602808848820416e+02 9.000000000000000000e+00
1.895980257639347428e+02 1.000000000000000000e+01
1.900410114684858343e+02 9.000000000000000000e+00
1.901283465542454110e+02 1.000000000000000000e+01
1.907488226829089513e+02 1.100000000000000000e+01
1.911906488594966049e+02 1.200000000000000000e+01
1.913925692954716453e+02 1.100000000000000000e+01
1.918783139608284216e+02 1.200000000000000000e+01
1.932291486969944287e+02 1.100000000000000000e+01
1.940161863586425568e+02 1.000000000000000000e+01
1.940792180162625868e+02 9.000000000000000000e+00
1.955430242709844890e+02 1.000000000000000000e+01
1.956956392412718060e+02 9.000000000000000000e+00
1.963541418812110635e+02 8.000000000000000000e+00
1.975914542516220820e+02 9.000000000000000000e+00
1.994505618502660127e+02 8.000000000000000000e+00
2.009662454914950445e+02 9.000000000000000000e+00
